answer_type,hit@10_triples,map@10_triples,mrr@10_triples,precision@10_triples,recall@10_triples,f1@10_triples,f2@10_triples,precision_triples,recall_triples,f1_triples,f2_triples,exact_match@10_triples,exact_match_triples,answer_relevancy,non_llm_string_similarity,faithfulness,semantic_similarity,instruction_following,runtime,llm_cost,llm_tokens,emissions
named entity,0.486,0.251,0.456,0.256,0.485,0.313,0.383,0.204,0.752,0.278,0.400,0.256,0.205,0.664,0.257,0.423,0.756,0.733,179.185,0.093,84858.512,0.004
other,1.000,0.750,0.750,0.750,1.000,0.835,0.915,0.750,1.000,0.835,0.915,0.750,0.750,0.965,0.885,0.500,0.960,1.000,63.963,0.039,35229.000,0.002
quantitative,0.678,0.393,0.564,0.353,0.678,0.450,0.554,0.283,0.841,0.380,0.512,0.353,0.283,0.528,0.216,0.356,0.695,0.550,155.174,0.084,76058.050,0.004
"named entity, temporal",0.726,0.492,0.615,0.481,0.726,0.568,0.649,0.452,0.787,0.554,0.658,0.480,0.451,0.496,0.420,0.543,0.833,0.778,175.011,0.086,78118.222,0.004
"description, named entity, temporal",0.500,0.322,0.480,0.359,0.500,0.411,0.459,0.297,0.959,0.380,0.523,0.358,0.298,0.705,0.306,0.688,0.811,0.625,204.432,0.100,91158.125,0.005
"description, named entity",0.333,0.102,0.167,0.107,0.333,0.157,0.228,0.132,0.500,0.202,0.308,0.106,0.132,0.515,0.382,0.695,0.865,0.833,143.201,0.076,69123.000,0.003
"description, quantitative, temporal",0.509,0.420,0.692,0.431,0.509,0.464,0.488,0.319,0.724,0.398,0.510,0.431,0.319,0.299,0.212,0.653,0.805,0.462,196.990,0.094,85153.538,0.005
boolean,1.000,0.291,0.291,0.250,1.000,0.400,0.620,0.250,1.000,0.400,0.620,0.250,0.250,0.790,0.420,0.415,0.785,1.000,71.749,0.038,34924.000,0.002
"description, quantitative",0.361,0.257,0.547,0.260,0.361,0.298,0.332,0.216,0.658,0.302,0.425,0.260,0.216,0.362,0.170,0.307,0.726,0.417,201.220,0.096,87516.833,0.005
