Config,F1,MAP@10,Precision,Recall
DiFaR (GV1),0.022,0.150,0.011,0.352
DiFaR (GV2),0.019,0.142,0.009,0.314
DiFaR (GV3),0.035,0.230,0.017,0.523
DiFaR (GV4),0.034,0.228,0.017,0.528
FiDeLiS (GV1),0.063,0.062,0.052,0.092
FiDeLiS (GV2),0.064,0.065,0.055,0.099
FiDeLiS (GV3),0.139,0.150,0.114,0.259
FiDeLiS (GV4),0.142,0.156,0.121,0.276
HubLink (GV1),0.327,0.298,0.246,0.755
HubLink (GV2),0.352,0.333,0.276,0.759
HubLink (GV3),0.423,0.408,0.350,0.812
HubLink (GV4),0.452,0.425,0.393,0.804
Mindmap (GV1),0.045,0.002,0.030,0.119
Mindmap (GV2),0.037,0.001,0.025,0.093
Mindmap (GV3),0.061,0.007,0.043,0.133
Mindmap (GV4),0.062,0.010,0.044,0.127
